County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Pennington County,29300,33450,37650,41800,45150,48500,51850,55200,17600,20100,23030,27750,32470,37190,41910,46630,46850,53550,60250,66900,72300,77650,83000,88350
Pine County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Pipestone County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Polk County,32600,37250,41900,46550,50300,54000,57750,61450,19600,22400,25200,27950,32470,37190,41910,46630,52150,59600,67050,74500,80500,86450,92400,98350
Pope County,30350,34700,39050,43350,46850,50300,53800,57250,18200,20800,23400,27750,32470,37190,41910,46630,48550,55500,62450,69350,74900,80450,86000,91550
Ramsey County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Red Lake County,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,27750,32470,37190,41910,46630,47850,54650,61500,68300,73800,79250,84700,90200
Redwood County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Renville County,29300,33450,37650,41800,45150,48500,51850,55200,17600,20100,23030,27750,32470,37190,41910,46630,46850,53550,60250,66900,72300,77650,83000,88350
Rice County,33850,38700,43550,48350,52250,56100,60000,63850,20300,23200,26100,29000,32470,37190,41910,46630,54150,61900,69650,77350,83550,89750,95950,102150
Rock County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Roseau County,29400,33600,37800,42000,45400,48750,52100,55450,17650,20200,23030,27750,32470,37190,41910,46630,47050,53800,60500,67200,72600,78000,83350,88750
St. Louis County,29900,34150,38400,42650,46100,49500,52900,56300,17950,20500,23050,27750,32470,37190,41910,46630,47800,54600,61450,68250,73750,79200,84650,90100
Scott County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Sherburne County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Sibley County,29750,34000,38250,42500,45900,49300,52700,56100,17850,20400,23030,27750,32470,37190,41910,46630,47600,54400,61200,68000,73450,78900,84350,89800
Stearns County,30950,35350,39750,44150,47700,51250,54750,58300,18550,21200,23850,27750,32470,37190,41910,46630,49500,56550,63600,70650,76350,82000,87650,93300
