Name,Subsidized units available,% Minority,%White Non-Hispanic
Monroe County,99,0,0
Appanoose County,104,0,0
Wayne County,12,0,0
Van Buren County,12,0,0
Lyon County,6,0,0
Davis County,10,0,0
Benton County,1,0,0
Adams County,3,0,0
Wright County,89,0,100
Taylor County,32,0,100
Ringgold County,45,0,100
Lucas County,17,0,100
Louisa County,58,0,100
Kossuth County,79,0,100
Keokuk County,42,0,100
Harrison County,179,0,100
Fremont County,25,0,100
Audubon County,28,0,100
Palo Alto County,100,1,99
Boone County,88,1,99
Sac County,73,2,98
Guthrie County,78,2,98
Buchanan County,73,2,98
Page County,96,3,97
Madison County,41,3,97
Humboldt County,68,3,97
Decatur County,35,3,97
Clayton County,91,3,97
Chickasaw County,52,3,97
Cass County,224,3,97
Hancock County,56,3,98
Mitchell County,38,4,96
Adair County,32,4,96
Osceola County,25,5,95
Jefferson County,183,5,95
Ida County,32,5,95
Hamilton County,89,5,95
Grundy County,30,5,95
Monona County,65,6,94
Mills County,147,6,94
Howard County,56,6,94
Dickinson County,179,6,94
Clarke County,38,6,94
Shelby County,141,7,93
Montgomery County,114,7,93
Greene County,46,7,93
Franklin County,41,7,93
Washington County,104,8,92
Poweshiek County,170,8,92
Plymouth County,110,8,92
Marion County,273,8,92
Hardin County,58,8,92
Fayette County,187,8,92
Calhoun County,75,8,92
Union County,118,9,91
Tama County,18,9,91
Sioux County,53,9,91
Pocahontas County,25,9,91
Henry County,125,9,91
Winneshiek County,93,10,90
Crawford County,126,10,90
Clay County,246,10,90
Warren County,175,11,89
Bremer County,109,11,89
Lee County,264,13,87
Butler County,24,13,88
Mahaska County,244,14,86
Emmet County,89,14,86
OBrien County,83,15,85
Jasper County,133,15,85
Carroll County,240,15,85
Winnebago County,44,16,84
Pottawattamie County,934,16,84
Cherokee County,47,16,84
Worth County,17,17,83
Cerro Gordo County,604,17,83
Dallas County,395,19,81
Marshall County,389,21,79
Webster County,676,22,78
Cedar County,43,23,77
Muscatine County,379,24,76
Floyd County,230,25,75
Allamakee County,70,25,75
Jackson County,149,27,73
Jones County,109,30,70
Delaware County,75,31,69
Wapello County,278,33,67
Story County,358,33,67
Woodbury County,1250,35,65
Des Moines County,401,35,65
Clinton County,515,38,62
Polk County,3664,43,57
Buena Vista County,80,43,57
Dubuque County,1260,49,51
Linn County,1298,53,47
Johnson County,1394,56,44
Black Hawk County,1573,56,44
Scott County,1309,72,28
