Name,Subsidized units available,% Minority,%White Non-Hispanic
Piscataquis County,48,0,100
Washington County,43,3,97
Hancock County,447,3,97
Somerset County,427,4,96
Knox County,253,4,97
York County,1589,5,95
Oxford County,540,5,95
Kennebec County,1299,5,95
Aroostook County,867,5,95
Waldo County,206,6,94
Sagadahoc County,474,6,94
Franklin County,135,6,94
Penobscot County,1183,8,92
Lincoln County,135,9,91
Cumberland County,4504,16,84
Androscoggin County,2223,19,81
