Name,Subsidized units available,% Minority,%White Non-Hispanic
Nelson County,173,0,0
Graves County,306,0,0
Webster County,4,0,0
Trimble County,4,0,0
Rockcastle County,9,0,0
Owen County,4,0,0
Monroe County,13,0,0
Metcalfe County,11,0,0
Menifee County,4,0,0
McLean County,4,0,0
Martin County,8,0,0
Marshall County,8,0,0
Lyon County,4,0,0
Larue County,12,0,0
Jackson County,3,0,0
Hickman County,4,0,0
Cumberland County,4,0,0
Crittenden County,3,0,0
Carroll County,5,0,0
Caldwell County,6,0,0
Bracken County,8,0,0
Bath County,10,0,0
Powell County,34,0,100
Pendleton County,99,0,100
Owsley County,31,0,100
Ohio County,19,0,100
McCreary County,72,0,100
Magoffin County,44,0,100
Hancock County,15,0,100
Grayson County,49,0,100
Gallatin County,15,0,100
Fleming County,17,0,100
Estill County,74,0,100
Elliott County,70,0,100
Clinton County,29,0,100
Clay County,26,0,100
Butler County,28,0,100
Breathitt County,71,0,100
Pike County,989,1,99
Johnson County,91,1,99
Floyd County,477,1,99
Carter County,339,1,99
Whitley County,543,2,98
Lewis County,75,2,98
Laurel County,331,2,98
Knox County,679,2,98
Greenup County,441,2,98
Lincoln County,32,4,96
Lawrence County,139,4,96
Russell County,99,5,95
Morgan County,26,5,95
Letcher County,48,5,95
Knott County,54,5,95
Harrison County,202,5,95
Casey County,54,5,95
Wolfe County,23,6,94
Lee County,22,6,94
Harlan County,379,6,94
Edmonson County,23,6,94
Adair County,83,6,94
Pulaski County,519,7,93
Perry County,54,7,93
Nicholas County,19,7,93
Bell County,407,7,93
Rowan County,92,8,92
Leslie County,15,8,92
Grant County,84,8,92
Bullitt County,440,8,92
Breckinridge County,31,8,92
Allen County,15,8,92
Boyd County,635,9,91
Anderson County,112,9,91
Spencer County,37,10,90
Wayne County,111,12,88
Henry County,30,13,87
Muhlenberg County,31,13,88
Montgomery County,124,14,86
Bourbon County,475,15,85
Mercer County,59,17,83
Meade County,31,17,83
Marion County,85,17,83
Barren County,356,18,82
Madison County,799,20,80
Daviess County,489,20,80
Washington County,68,21,79
Taylor County,315,21,79
Clark County,559,21,79
Oldham County,121,23,77
Boone County,1043,24,76
Hopkins County,261,25,75
Campbell County,1313,25,75
Woodford County,301,27,73
Union County,19,27,73
Mason County,117,27,73
Garrard County,43,27,73
Kenton County,1343,29,71
Franklin County,543,32,68
Boyle County,303,32,68
Jessamine County,717,33,67
Henderson County,787,33,67
Calloway County,67,33,67
Scott County,425,36,64
Logan County,53,37,63
Todd County,30,39,61
Shelby County,181,39,61
Warren County,965,41,59
McCracken County,675,46,54
Hart County,16,46,54
Simpson County,58,49,51
Hardin County,616,50,50
Trigg County,44,53,47
Christian County,937,68,32
Fayette County,3409,71,29
Jefferson County,11958,77,23
Fulton County,26,85,15
