Name,Subsidized units available,% Minority,%White Non-Hispanic
Orleans County,102,2,98
Orange County,140,2,98
Grand Isle County,56,2,98
Addison County,273,2,98
Bennington County,745,3,97
Washington County,630,4,96
Rutland County,821,4,96
Essex County,25,5,95
Caledonia County,234,5,95
Windsor County,641,6,94
Lamoille County,123,6,94
Franklin County,757,6,94
Windham County,968,10,90
Chittenden County,3759,20,80
