Name,Subsidized units available,% Minority,%White Non-Hispanic
Prince of Wales-Hyder Census Area County,1,0,0
Matanuska-Susitna Borough County,516,17,83
Kenai Peninsula Borough County,557,22,78
Chugach Census Area County,59,31,69
Sitka Borough County,40,33,67
Ketchikan Gateway Borough County,107,39,61
Wrangell City and Borough County,33,43,57
Petersburg Census Area County,32,48,52
Kodiak Island Borough County,109,49,51
Juneau Borough County,340,49,51
Fairbanks North Star Borough County,446,49,51
Anchorage Borough County,2676,66,34
