Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,SD South Dakota,SD Miner County 46097,9,Summary of All HUD Programs,1,,Miner County,46097,27,84,23,100,7,26,1.2,28,319,383,18277,15013,9,14,9,23,45,48,-1,48,36,78,39,-1,9,61,9,30,8,18,4,9,30,57,9,9,-1,-1,4,91,-1,-1,4,4,0,2,86,22,113,87,13,-1,9,7,3,88,,,,,,SD,,,miner sd,9,91,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Miner County 46097,9,Public Housing,2,,Miner County,46097,20,90,18,100,8,22,1.2,21,326,390,20083,17214,-1,18,12,18,53,56,-1,39,40,72,33,-1,6,61,6,29,9,14,-1,11,28,61,11,11,-1,-1,6,89,-1,-1,6,6,0,3,95,-1,-1,89,11,-1,11,7,3,88,,,,,,SD,,,miner sd,11,89,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Miner County 46097,9,Housing Choice Vouchers,3,,Miner County,46097,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,miner sd,-4,-4,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,Summary of All HUD Programs,1,,Minnehaha County,46099,3146,95,3001,100,5,14,1.9,5776,311,550,13451,6988,9,28,28,16,18,16,2,75,21,98,81,3,28,69,29,48,52,28,3,41,21,34,3,31,14,13,1,65,0,2,1,3,1,28,84,56,89,60,20,20,5,14,19,47,,,,,,SD,,,minnehaha sd,31,69,0,1
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,Public Housing,2,,Minnehaha County,46099,23,92,21,100,3,5,3.5,73,151,494,6611,1902,25,17,33,17,8,14,5,38,8,100,95,5,57,86,57,5,-1,1,-1,67,33,-1,-1,38,10,24,-1,62,-1,-1,5,5,0,-1,135,100,251,-1,-1,100,33,12,15,67,,,,,,SD,,,minnehaha sd,38,62,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,Housing Choice Vouchers,3,,Minnehaha County,46099,1860,96,1763,99,4,12,2.2,3874,334,565,14225,6474,9,28,26,15,21,19,2,72,21,97,80,4,35,73,36,44,60,26,2,48,22,29,2,36,17,16,1,64,0,2,0,3,0,29,94,66,99,49,24,27,6,13,19,49,,,,,,SD,,,minnehaha sd,36,64,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,Mod Rehab,4,,Minnehaha County,46099,73,88,61,95,4,21,2.0,122,201,496,8936,4468,23,27,27,7,16,20,8,44,14,97,89,7,44,67,43,31,70,20,3,57,23,16,-1,36,3,28,-1,64,-1,5,-1,5,0,5,52,80,49,41,57,2,2,16,26,38,,,,,,SD,,,minnehaha sd,36,64,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,Project Based Section 8,5,,Minnehaha County,46099,1001,93,970,100,5,18,1.6,1510,278,580,12139,7798,11,31,29,16,13,13,1,81,20,99,84,2,20,62,20,55,49,35,7,33,23,38,3,26,11,9,1,64,0,2,1,4,2,-1,69,41,61,75,16,10,3,15,20,48,,,,,,SD,,,minnehaha sd,26,74,0,1
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,202/PRAC,8,,Minnehaha County,46099,135,95,129,100,6,16,1.1,136,326,273,16097,15268,-1,14,40,22,24,2,-1,98,27,98,67,-1,-1,82,-1,-1,24,23,-1,-1,-1,100,17,5,-1,2,2,85,-1,1,1,2,1,-1,73,29,32,100,-1,-1,-1,14,17,25,,,,,,SD,,,minnehaha sd,6,94,0,1
2021-12-31 00:00:00,County,SD South Dakota,SD Minnehaha County 46099,9,811/PRAC,9,,Minnehaha County,46099,54,98,57,100,6,12,1.1,61,312,299,13174,12310,-1,38,33,13,16,12,-1,84,22,98,82,2,-1,26,2,98,100,92,4,49,35,12,-1,18,2,12,2,65,-1,-1,2,2,2,-1,71,25,37,96,4,-1,2,20,32,40,,,,,,SD,,,minnehaha sd,28,72,0,1
