gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,SD South Dakota,SD Custer County 46033,9,Project Based Section 8,5,,Custer County,46033,27,91,28,100,5,21,1.0,28,200,357,8222,8222,4,52,35,4,4,25,-1,57,19,100,89,-1,-1,32,-1,43,43,43,7,29,39,25,-1,21,-1,21,-1,79,-1,-1,-1,0,0,-1,51,-1,-1,100,-1,-1,-1,14,8,77,,,,,,SD,,,custer sd,21,79,0,0
County,SD South Dakota,SD Deuel County 46039,9,Summary of All HUD Programs,1,,Deuel County,46039,48,79,36,95,5,31,1.2,44,203,420,9114,7457,3,40,47,10,-1,3,-1,81,21,100,86,6,6,64,8,50,18,25,3,22,14,61,11,6,3,3,-1,94,-1,-1,-1,0,0,2,74,3,121,94,6,-1,-1,5,3,84,,,,,,SD,,,deuel sd,6,94,0,0
County,SD South Dakota,SD Davison County 46035,9,Public Housing,2,,Davison County,46035,113,97,103,94,7,15,1.2,119,298,146,16457,14245,1,24,35,14,27,17,-1,82,37,81,45,-1,-1,47,-1,50,22,28,6,9,20,65,15,1,-1,-1,1,99,-1,-1,-1,0,0,2,61,-1,-1,98,2,-1,1,8,4,62,,,,,,SD,,,davison sd,1,99,0,0
County,SD South Dakota,SD Davison County 46035,9,Project Based Section 8,5,,Davison County,46035,288,94,281,100,5,20,1.6,453,254,432,11380,7059,10,39,27,14,9,16,1,81,24,98,72,4,23,68,23,65,51,38,10,38,22,31,6,15,0,10,1,85,0,2,1,3,3,-1,64,26,109,69,21,10,4,12,6,70,,,,,,SD,,,davison sd,15,85,0,0
County,SD South Dakota,SD Day County 46037,9,Public Housing,2,,Day County,46037,32,81,26,100,5,23,1.1,28,275,260,14342,13318,-1,31,31,19,19,-1,-1,100,34,88,50,-1,-1,62,-1,100,41,50,-1,8,8,85,8,4,-1,4,-1,96,-1,-1,-1,0,0,1,47,-1,-1,92,8,-1,4,18,5,72,,,,,,SD,,,day sd,4,96,0,0
County,SD South Dakota,SD Douglas County 46043,9,Summary of All HUD Programs,1,,Douglas County,46043,20,51,13,100,3,31,1.1,14,264,305,12534,11639,-1,46,23,23,8,-1,-1,100,30,92,54,-1,-1,85,-1,100,17,21,-1,-1,8,92,38,0,-1,-1,-1,85,-1,-1,-1,0,0,-1,74,-1,-1,100,-1,-1,-1,11,4,87,,,,,,SD,,,douglas sd,10,90,0,1
County,SD South Dakota,SD Deuel County 46039,9,Project Based Section 8,5,,Deuel County,46039,34,82,26,94,5,27,1.2,31,200,395,8623,7232,5,43,43,10,-1,4,-1,77,20,100,88,4,4,50,4,45,20,26,4,23,15,58,4,4,-1,4,-1,96,-1,-1,-1,0,0,-1,79,-1,-1,100,-1,-1,-1,5,3,85,,,,,,SD,,,deuel sd,4,96,0,0
County,SD South Dakota,SD Fall River County 46047,9,Summary of All HUD Programs,1,,Fall River County,46047,253,83,214,100,5,27,1.2,258,271,321,12256,10166,7,30,34,16,13,9,-1,86,29,90,54,1,8,48,6,59,28,35,7,21,17,56,9,16,2,12,0,84,-1,2,-1,2,1,1,62,14,132,89,7,4,2,22,15,53,,,,,,SD,,,fall river sd,16,84,0,0
County,SD South Dakota,SD Fall River County 46047,9,Housing Choice Vouchers,3,,Fall River County,46047,18,89,16,100,6,13,1.6,26,268,632,10405,6403,19,44,19,19,-1,6,-1,94,24,100,63,-1,31,56,25,50,33,27,-1,31,31,38,-1,31,13,19,-1,69,-1,-1,-1,0,0,1,55,75,226,50,19,31,25,23,15,52,,,,,,SD,,,fall river sd,31,69,0,0
County,SD South Dakota,SD Faulk County 46049,9,Summary of All HUD Programs,1,,Faulk County,46049,22,56,11,90,5,18,1.1,12,294,346,16003,14669,-1,36,9,36,18,9,-1,91,38,82,36,-1,9,82,9,50,11,17,-1,9,9,82,18,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,84,-1,-1,82,18,-1,9,14,2,77,,,,,,SD,,,faulk sd,0,100,0,0
County,SD South Dakota,SD Fall River County 46047,9,Public Housing,2,,Fall River County,46047,100,82,82,100,5,27,1.1,87,275,201,13389,12619,3,26,38,17,17,6,-1,88,32,84,50,-1,-1,55,-1,79,25,43,4,17,15,65,16,11,-1,10,-1,89,-1,1,-1,1,0,1,63,-1,-1,100,-1,-1,-1,23,15,52,,,,,,SD,,,fall river sd,11,89,0,0
County,SD South Dakota,SD Fall River County 46047,9,Project Based Section 8,5,,Fall River County,46047,135,83,116,100,4,28,1.3,145,269,365,11710,9368,8,32,33,15,12,11,-1,84,28,92,56,2,10,42,8,49,31,32,9,22,16,53,5,18,2,13,1,82,-1,3,-1,3,3,-1,62,16,72,87,10,3,1,21,14,55,,,,,,SD,,,fall river sd,18,82,0,0
County,SD South Dakota,SD Faulk County 46049,9,Project Based Section 8,5,,Faulk County,46049,22,56,11,90,5,18,1.1,12,294,346,16003,14669,-1,36,9,36,18,9,-1,91,38,82,36,-1,9,82,9,50,11,17,-1,9,9,82,18,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,84,-1,-1,82,18,-1,9,14,2,77,,,,,,SD,,,faulk sd,0,100,0,0
County,SD South Dakota,SD Grant County 46051,9,Summary of All HUD Programs,1,,Grant County,46051,173,85,160,100,6,20,1.6,249,281,418,13050,8386,7,25,29,27,12,22,-1,73,29,93,57,4,18,66,19,46,24,25,7,27,19,47,10,4,-1,-1,-1,95,-1,4,-1,4,0,5,58,39,112,69,20,11,6,15,4,72,,,,,,SD,,,grant sd,5,95,0,0
County,SD South Dakota,SD Grant County 46051,9,Housing Choice Vouchers,3,,Grant County,46051,65,80,51,98,5,14,1.9,95,271,431,12487,6704,-1,41,33,14,12,18,-1,78,26,100,71,10,20,63,25,63,47,34,6,37,20,37,2,14,-1,-1,-1,86,-1,14,-1,14,0,5,70,65,117,63,20,18,-1,14,4,73,,,,,,SD,,,grant sd,14,86,0,0
County,SD South Dakota,SD Gregory County 46053,9,Summary of All HUD Programs,1,,Gregory County,46053,99,70,80,100,7,34,1.3,103,258,356,13079,10158,3,28,39,18,13,14,-1,85,31,93,56,3,13,73,15,38,6,13,6,15,11,68,28,5,-1,5,-1,93,-1,-1,-1,0,1,5,55,29,73,75,20,5,6,17,10,81,,,,,,SD,,,gregory sd,7,93,0,0
County,SD South Dakota,SD Haakon County 46055,9,Summary of All HUD Programs,1,,Haakon County,46055,26,65,18,100,5,33,1.2,22,317,399,15627,12786,-1,22,28,11,39,17,-1,83,33,89,50,6,11,83,11,33,-1,9,6,17,11,67,22,11,-1,6,-1,89,-1,6,-1,6,0,-1,35,39,78,67,28,6,17,12,6,80,,,,,,SD,,,haakon sd,11,89,0,0
County,SD South Dakota,SD Hamlin County 46057,9,Summary of All HUD Programs,1,,Hamlin County,46057,29,91,26,100,6,27,1.2,32,235,319,13997,11372,-1,48,20,8,24,42,-1,54,32,77,58,4,4,62,4,39,38,31,15,27,27,31,4,4,-1,4,-1,96,-1,-1,-1,0,0,2,64,12,135,96,4,-1,4,10,3,84,,,,,,SD,,,hamlin sd,4,96,0,0
