Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2016-12-31 00:00:00,County,SD South Dakota,"SD Aurora County, South Dakota 46003",9,Summary of All HUD Programs,1,,Aurora County,46003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,aurora sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Aurora County, South Dakota 46003",9,Housing Choice Vouchers,3,,Aurora County,46003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,aurora sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Beadle County, South Dakota 46005",9,Summary of All HUD Programs,1,,Beadle County,46005,453,75,330,97,5,17,1.6,534,241,419,10374,6411,14,45,25,8,8,15,0,80,23,97,77,5,19,58,19,64,63,42,11,44,21,24,3,22,5,7,0,77,0,6,3,9,3,14,62,29,119,65,20,15,10,24,18,71,,,,,,SD,,,beadle sd,23,77,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Beadle County, South Dakota 46005",9,Housing Choice Vouchers,3,,Beadle County,46005,258,74,185,97,6,14,1.6,295,266,383,11403,7151,4,53,26,7,9,12,-1,85,25,97,76,3,15,61,13,80,69,52,5,42,27,26,3,18,3,7,1,82,1,6,1,8,2,14,76,42,119,64,20,16,16,24,19,71,,,,,,SD,,,beadle sd,18,82,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Beadle County, South Dakota 46005",9,Project Based Section 8,5,,Beadle County,46005,195,77,145,97,5,21,1.6,239,209,466,9061,5497,26,34,23,10,7,20,1,74,20,97,77,7,24,54,26,45,53,30,19,47,12,22,3,26,7,8,-1,70,-1,6,6,12,4,-1,43,14,117,66,20,14,3,23,17,70,,,,,,SD,,,beadle sd,30,70,0,1
2016-12-31 00:00:00,County,SD South Dakota,"SD Bennett County, South Dakota 46007",9,Summary of All HUD Programs,1,,Bennett County,46007,37,97,36,100,4,25,2.2,78,326,324,15089,6964,14,19,17,25,25,39,6,56,31,86,53,6,36,78,36,14,47,15,17,28,14,42,3,67,-1,61,-1,33,-1,-1,6,6,0,9,61,47,118,47,28,25,6,46,67,77,,,,,,SD,,,bennett sd,67,33,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bennett County, South Dakota 46007",9,Public Housing,2,,Bennett County,46007,34,97,33,100,4,24,2.2,73,345,296,16054,7257,9,18,18,27,27,42,6,52,33,85,48,6,36,76,36,15,38,14,18,27,15,39,3,70,-1,67,-1,30,-1,-1,3,3,0,9,58,45,107,48,24,27,3,46,67,77,,,,,,SD,,,bennett sd,70,30,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bennett County, South Dakota 46007",9,Housing Choice Vouchers,3,,Bennett County,46007,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,bennett sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bennett County, South Dakota 46007",9,Project Based Section 8,5,,Bennett County,46007,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,bennett sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bon Homme County, South Dakota 46009",9,Summary of All HUD Programs,1,,Bon Homme County,46009,65,73,51,100,4,14,1.1,55,269,246,13413,12437,-1,29,37,25,8,4,-1,96,32,96,49,-1,2,71,2,89,26,36,-1,6,12,82,29,2,-1,2,-1,98,-1,-1,-1,0,0,-1,70,20,57,98,2,-1,-1,11,8,85,,,,,,SD,,,bon homme sd,2,98,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bon Homme County, South Dakota 46009",9,Housing Choice Vouchers,3,,Bon Homme County,46009,9,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,bon homme sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Bon Homme County, South Dakota 46009",9,Project Based Section 8,5,,Bon Homme County,46009,56,72,44,100,4,16,1.1,47,270,213,13372,12518,-1,30,36,27,7,5,-1,95,32,95,50,-1,2,73,2,89,29,40,-1,7,14,80,27,2,-1,2,-1,98,-1,-1,-1,0,0,-1,69,20,47,100,-1,-1,-1,11,9,85,,,,,,SD,,,bon homme sd,2,98,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,Summary of All HUD Programs,1,,Brookings County,46011,561,69,380,98,5,29,1.9,714,288,447,12981,6909,7,25,27,19,22,32,1,57,26,94,61,8,28,72,31,36,40,22,11,47,12,30,6,18,7,7,1,81,1,3,1,4,1,6,50,71,102,62,17,21,1,17,8,50,,,,,,SD,,,brookings sd,19,81,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,Public Housing,2,,Brookings County,46011,20,100,20,100,6,10,1.2,24,291,215,16142,13451,11,11,11,32,37,35,5,55,35,75,35,5,5,50,5,33,63,38,10,30,20,40,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,8,79,-1,-1,100,-1,-1,-1,8,4,78,,,,,,SD,,,brookings sd,0,100,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,Housing Choice Vouchers,3,,Brookings County,46011,304,66,192,96,4,33,2.5,476,304,558,13004,5246,8,27,23,18,24,37,2,48,24,95,64,15,42,76,47,31,59,17,7,65,10,17,2,26,8,10,2,74,1,4,1,6,0,6,44,80,130,40,24,36,1,17,8,49,,,,,,SD,,,brookings sd,26,74,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,Mod Rehab,4,,Brookings County,46011,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,brookings sd,-4,-4,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,Project Based Section 8,5,,Brookings County,46011,206,69,146,100,6,27,1.3,190,268,349,12383,9516,5,26,36,19,14,29,-1,65,27,97,64,-1,17,69,16,46,27,30,18,30,14,38,10,12,6,3,1,87,-1,2,-1,2,1,-1,55,68,71,81,12,8,2,19,9,49,,,,,,SD,,,brookings sd,13,87,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brookings County, South Dakota 46011",9,202/PRAC,8,,Brookings County,46011,24,71,17,100,5,24,1.1,18,336,141,17163,16210,-1,18,24,18,41,6,-1,94,39,82,35,-1,-1,88,-1,-1,35,39,-1,-1,-1,100,24,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,30,100,29,100,-1,-1,-1,9,9,36,,,,,,SD,,,brookings sd,0,100,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brown County, South Dakota 46013",9,Summary of All HUD Programs,1,,Brown County,46013,874,87,764,100,5,26,1.8,1356,295,386,13411,7556,9,29,28,18,16,26,1,70,26,95,67,3,31,72,30,44,36,25,7,44,17,32,5,17,5,7,1,82,0,3,1,4,1,21,56,49,88,53,31,16,12,11,9,54,,,,,,SD,,,brown sd,18,82,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brown County, South Dakota 46013",9,Public Housing,2,,Brown County,46013,100,98,98,100,6,28,1.8,175,320,171,17082,9566,3,24,33,10,30,19,-1,80,32,81,57,3,19,70,18,52,27,21,3,27,13,57,12,16,2,10,2,84,-1,2,-1,2,1,18,51,24,201,73,6,20,2,9,8,49,,,,,,SD,,,brown sd,16,84,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brown County, South Dakota 46013",9,Housing Choice Vouchers,3,,Brown County,46013,470,79,373,100,5,28,1.9,695,290,431,12489,6703,13,32,26,16,13,31,1,64,24,97,72,1,38,74,35,39,54,24,6,52,20,22,4,21,8,8,1,79,0,3,1,4,2,22,55,62,97,45,37,18,15,10,9,57,,,,,,SD,,,brown sd,21,79,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brown County, South Dakota 46013",9,Project Based Section 8,5,,Brown County,46013,303,96,293,100,5,23,1.7,486,293,400,13357,8053,5,29,29,21,16,23,1,73,26,98,63,4,27,70,26,52,27,27,9,41,14,37,5,12,3,6,1,86,-1,2,1,3,1,-1,58,40,48,56,30,13,12,12,10,52,,,,,,SD,,,brown sd,14,86,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brule County, South Dakota 46015",9,Summary of All HUD Programs,1,,Brule County,46015,68,69,52,100,6,46,2.0,103,166,569,6919,3493,42,33,7,9,9,25,6,56,16,94,83,8,37,77,40,24,33,13,38,44,12,6,-1,81,4,77,-1,19,-1,-1,-1,0,10,-1,27,42,113,58,31,12,6,10,18,70,,,,,,SD,,,brule sd,81,19,0,0
2016-12-31 00:00:00,County,SD South Dakota,"SD Brule County, South Dakota 46015",9,Project Based Section 8,5,,Brule County,46015,68,69,52,100,6,46,2.0,103,166,569,6919,3493,42,33,7,9,9,25,6,56,16,94,83,8,37,77,40,24,33,13,38,44,12,6,-1,81,4,77,-1,19,-1,-1,-1,0,10,-1,27,42,113,58,31,12,6,10,18,70,,,,,,SD,,,brule sd,81,19,0,0
