Name,Subsidized units available,% Minority,%White Non-Hispanic
Dukes County,18,12,88
Franklin County,1055,14,86
Barnstable County,2399,19,81
Berkshire County,1936,20,79
Bristol County,6806,34,66
Hampshire County,1433,36,63
Plymouth County,5051,42,58
Norfolk County,9901,52,47
Middlesex County,19172,52,48
Essex County,11298,56,44
Worcester County,8018,58,42
Suffolk County,20111,82,18
Hampden County,10563,84,15
