Name,Subsidized units available,% Minority,%White Non-Hispanic
Clark County,1291,0,0
Madison County,1,0,0
Mercer County,13,0,100
Carroll County,29,0,100
Vinton County,197,1,99
Perry County,216,2,98
Morrow County,137,2,98
Adams County,291,2,98
Noble County,92,3,97
Crawford County,413,3,97
Jackson County,332,4,96
Henry County,29,4,96
Brown County,42,4,96
Pike County,543,5,95
Monroe County,178,5,95
Meigs County,138,5,95
Knox County,566,5,95
Hocking County,306,5,95
Athens County,822,5,95
Washington County,603,6,94
Tuscarawas County,608,6,94
Pickaway County,648,6,94
Darke County,318,6,94
Ashland County,287,6,94
Williams County,94,7,93
Scioto County,468,7,93
Preble County,56,7,93
Gallia County,187,7,93
Coshocton County,257,7,93
Columbiana County,604,7,93
Highland County,144,8,92
Hardin County,63,8,92
Guernsey County,693,8,92
Holmes County,47,8,93
Wyandot County,69,9,91
Lawrence County,249,9,91
Shelby County,214,10,90
Fayette County,475,10,90
Ottawa County,141,11,89
Champaign County,93,11,89
Auglaize County,28,11,89
Wayne County,824,12,88
Huron County,603,12,88
Harrison County,250,12,88
Belmont County,279,13,87
Morgan County,155,14,86
Licking County,1118,14,86
Van Wert County,14,15,85
Logan County,226,15,85
Seneca County,211,16,84
Ross County,568,16,84
Geauga County,185,16,84
Clinton County,301,16,84
Miami County,994,17,83
Delaware County,391,17,83
Clermont County,957,18,82
Paulding County,20,19,81
Muskingum County,939,19,81
Putnam County,48,20,80
Hancock County,729,20,80
Fairfield County,1076,20,80
Marion County,615,21,79
Wood County,299,22,78
Warren County,778,22,78
Union County,100,23,77
Medina County,684,25,75
Greene County,1445,25,75
Fulton County,79,27,73
Defiance County,95,29,71
Ashtabula County,599,31,69
Jefferson County,811,35,65
Portage County,1944,36,64
Sandusky County,247,41,59
Richland County,1846,49,51
Lake County,1542,49,51
Butler County,2527,52,48
Erie County,1135,58,42
Stark County,1746,61,39
Trumbull County,1098,68,32
Summit County,5245,69,31
Lorain County,3132,69,31
Allen County,996,72,28
Lucas County,4635,78,22
Franklin County,14855,81,19
Montgomery County,4384,84,16
Mahoning County,2280,88,12
Hamilton County,11813,88,12
Cuyahoga County,16666,93,7
