Name,Subsidized units available,% Minority,%White Non-Hispanic
Waller County,180,0,0
Swisher County,72,0,0
Kerr County,114,0,0
Gillespie County,33,0,0
Fayette County,90,0,0
Falls County,27,0,0
Brewster County,121,0,0
Austin County,36,0,0
Yoakum County,1,0,0
Winkler County,6,0,0
Wheeler County,14,0,0
Sutton County,1,0,0
Sherman County,3,0,0
Shackelford County,2,0,0
San Jacinto County,12,0,0
San Augustine County,12,0,0
Sabine County,7,0,0
Runnels County,1,0,0
Reeves County,4,0,0
Rains County,1,0,0
Parmer County,14,0,0
Ochiltree County,13,0,0
Motley County,1,0,0
Montague County,10,0,0
Mitchell County,4,0,0
Lynn County,2,0,0
Lipscomb County,1,0,0
Leon County,9,0,0
Lavaca County,5,0,0
Jones County,8,0,0
Irion County,1,0,0
Hood County,2,0,0
Haskell County,1,0,0
Hartley County,1,0,0
Hansford County,1,0,0
Hall County,3,0,0
Grimes County,7,0,0
Goliad County,14,0,0
Garza County,8,0,0
Freestone County,2,0,0
Delta County,13,0,0
Crosby County,1,0,0
Crockett County,4,0,0
Colorado County,7,0,0
Collingsworth County,1,0,0
Coleman County,1,0,0
Cochran County,1,0,0
Caldwell County,24,0,0
Briscoe County,10,0,0
Blanco County,9,0,0
Bandera County,7,0,0
Armstrong County,1,0,0
Jim Hogg County,78,5,95
Wise County,17,8,92
Young County,26,13,87
Stephens County,41,14,86
Somervell County,16,14,86
Eastland County,63,14,86
Llano County,71,17,83
Callahan County,109,17,83
Parker County,510,19,81
Palo Pinto County,238,21,79
Burnet County,248,22,78
Dallam County,18,23,77
Hardeman County,34,24,76
Comanche County,29,25,75
Erath County,48,26,74
Donley County,15,27,73
Lampasas County,38,29,71
Gray County,115,30,70
Carson County,32,30,70
Van Zandt County,81,32,68
Cooke County,386,32,68
Fannin County,448,33,67
Johnson County,492,34,66
Kendall County,127,35,65
Brown County,480,35,65
Wilson County,115,39,61
Aransas County,60,39,61
Wood County,19,40,60
Grayson County,1065,41,59
Hutchinson County,56,43,58
Wichita County,1030,45,55
McCulloch County,14,45,55
Franklin County,37,45,55
Limestone County,83,46,54
Hopkins County,190,47,53
Randall County,785,49,51
Childress County,49,49,51
Wilbarger County,79,50,50
Marion County,23,50,50
Comal County,314,52,48
Burleson County,56,52,48
Moore County,32,57,43
Taylor County,1692,58,42
Nolan County,43,59,41
Tom Green County,1014,60,40
Titus County,241,60,40
Andrews County,16,60,40
Liberty County,271,61,39
Hunt County,619,61,39
Hays County,247,61,39
Floyd County,36,61,39
Potter County,2584,63,37
Atascosa County,144,63,37
Tyler County,16,64,36
Walker County,255,65,35
Upshur County,51,65,35
Medina County,67,66,34
Lamar County,434,67,33
Howard County,292,67,33
Anderson County,400,68,32
Scurry County,99,69,31
Bastrop County,162,69,31
Calhoun County,107,70,30
Ward County,24,71,29
Henderson County,202,71,29
Guadalupe County,383,71,29
DeWitt County,111,71,29
Coryell County,234,71,29
Live Oak County,50,72,28
Cherokee County,367,72,28
Brazoria County,597,72,28
Washington County,329,73,27
Rusk County,94,73,27
Lubbock County,1663,73,27
Lee County,26,73,27
Navarro County,39,73,28
Montgomery County,488,75,25
Milam County,155,75,25
Hale County,251,75,25
Victoria County,373,76,24
Karnes County,47,76,24
Hill County,151,76,24
Williamson County,1008,77,23
Hockley County,163,77,23
Hardin County,286,77,23
Brazos County,1840,77,23
Lamb County,52,79,21
San Patricio County,529,81,19
Newton County,19,81,19
Nacogdoches County,1112,81,19
Travis County,6915,82,18
Polk County,52,82,18
Orange County,839,82,18
Ector County,1275,82,18
Denton County,3824,83,17
Dawson County,113,83,17
Collin County,3293,83,17
Angelina County,1220,83,17
Tarrant County,14371,84,16
Rockwall County,413,84,16
Gregg County,1318,84,16
Trinity County,15,85,15
Midland County,469,85,15
Cass County,79,85,15
Bowie County,2132,85,15
Refugio County,22,86,14
Jackson County,137,86,14
Bee County,289,86,14
Smith County,1108,87,13
Robertson County,62,87,13
Matagorda County,330,87,13
Morris County,64,88,12
Galveston County,2987,88,12
Camp County,63,88,12
Bell County,3341,88,12
Uvalde County,265,89,11
Shelby County,63,89,11
Nueces County,3743,89,11
Panola County,24,90,10
McLennan County,2602,90,10
Jasper County,243,90,10
Harrison County,683,90,10
Ellis County,616,90,10
Bexar County,16093,90,10
Wharton County,26,91,9
Terry County,117,91,9
Madison County,12,91,9
Red River County,46,92,8
Kleberg County,629,92,8
Duval County,113,92,8
Deaf Smith County,108,92,8
Houston County,86,93,7
Dallas County,24109,93,7
Presidio County,25,94,6
Pecos County,165,94,6
Kaufman County,1888,94,6
Gonzales County,31,94,6
Frio County,158,94,6
Jefferson County,5209,95,5
Harris County,23936,95,5
Castro County,31,95,5
Willacy County,61,96,4
Val Verde County,836,96,4
La Salle County,50,96,4
El Paso County,6752,96,4
Zapata County,56,97,3
Fort Bend County,1525,97,3
Brooks County,152,97,3
Jim Wells County,198,98,2
Hidalgo County,6625,98,2
Dimmit County,160,98,2
Cameron County,5159,98,2
Zavala County,215,99,1
Webb County,1636,99,1
Maverick County,490,99,1
Chambers County,22,100,0
Starr County,326,100,0
