County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Kleberg County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Knox County,24300,27750,31200,34650,37450,40200,43000,45750,14600,18310,23030,27750,32470,37190,41910,45750,38850,44400,49950,55450,59900,64350,68800,73200
Lamar County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Lamb County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Lampasas County,28450,32500,36550,40600,43850,47100,50350,53600,17050,19500,23030,27750,32470,37190,41910,46630,45500,52000,58500,64950,70150,75350,80550,85750
La Salle County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Lavaca County,26400,30200,33950,37700,40750,43750,46750,49800,15850,18310,23030,27750,32470,37190,41910,46630,42250,48250,54300,60300,65150,69950,74800,79600
Lee County,24850,28400,31950,35500,38350,41200,44050,46900,14950,18310,23030,27750,32470,37190,41910,46630,39800,45450,51150,56800,61350,65900,70450,75000
Leon County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Liberty County,31050,35450,39900,44300,47850,51400,54950,58500,18650,21300,23950,27750,32470,37190,41910,46630,49600,56700,63800,70850,76550,82200,87900,93550
Limestone County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Lipscomb County,26000,29700,33400,37100,40100,43050,46050,49000,15600,18310,23030,27750,32470,37190,41910,46630,41550,47500,53450,59350,64100,68850,73600,78350
Live Oak County,25750,29400,33100,36750,39700,42650,45600,48550,15450,18310,23030,27750,32470,37190,41910,46630,41150,47000,52900,58750,63450,68150,72850,77550
Llano County,24450,27950,31450,34900,37700,40500,43300,46100,14700,18310,23030,27750,32470,37190,41910,46100,39100,44700,50300,55850,60350,64800,69300,73750
Loving County,36250,41400,46600,51750,55900,60050,64200,68350,21750,24850,27950,31050,33550,37190,41910,46630,58000,66250,74550,82800,89450,96050,102700,109300
Lubbock County,27550,31500,35450,39350,42500,45650,48800,51950,16550,18900,23030,27750,32470,37190,41910,46630,44100,50400,56700,62950,68000,73050,78100,83100
Lynn County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
McCulloch County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
McLennan County,24500,28000,31500,34950,37750,40550,43350,46150,14700,18310,23030,27750,32470,37190,41910,46150,39150,44750,50350,55900,60400,64850,69350,73800
McMullen County,28200,32200,36250,40250,43500,46700,49950,53150,16950,19350,23030,27750,32470,37190,41910,46630,45100,51550,58000,64400,69600,74750,79900,85050
Madison County,24600,28100,31600,35100,37950,40750,43550,46350,14750,18310,23030,27750,32470,37190,41910,46350,39350,44950,50550,56150,60650,65150,69650,74150
Marion County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Martin County,30500,34850,39200,43550,47050,50550,54050,57500,18350,20950,23550,27750,32470,37190,41910,46630,48800,55800,62750,69700,75300,80900,86450,92050
Mason County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Matagorda County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Maverick County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Medina County,30050,34350,38650,42900,46350,49800,53200,56650,18050,20600,23200,27750,32470,37190,41910,46630,48050,54900,61750,68600,74100,79600,85100,90600
Menard County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Midland County,37300,42600,47950,53250,57550,61800,66050,70300,22400,25600,28800,31950,34550,37190,41910,46630,59650,68200,76700,85200,92050,98850,105650,112500
Milam County,24050,27500,30950,34350,37100,39850,42600,45350,14450,18310,23030,27750,32470,37190,41910,45350,38450,43950,49450,54900,59300,63700,68100,72500
Mills County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Mitchell County,29100,33250,37400,41550,44900,48200,51550,54850,17500,20000,23030,27750,32470,37190,41910,46630,46550,53200,59850,66500,71850,77150,82500,87800
Montague County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Montgomery County,31050,35450,39900,44300,47850,51400,54950,58500,18650,21300,23950,27750,32470,37190,41910,46630,49600,56700,63800,70850,76550,82200,87900,93550
Moore County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Morris County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Motley County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Nacogdoches County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Navarro County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Newton County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Nolan County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Nueces County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,23030,27750,32470,37190,41910,46630,43400,49600,55800,62000,67000,71950,76900,81850
Ochiltree County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Oldham County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Orange County,25800,29450,33150,36800,39750,42700,45650,48600,15500,18310,23030,27750,32470,37190,41910,46630,41250,47150,53050,58900,63650,68350,73050,77750
Palo Pinto County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Panola County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Parker County,31650,36200,40700,45200,48850,52450,56050,59700,19000,21700,24400,27750,32470,37190,41910,46630,50650,57850,65100,72300,78100,83900,89700,95450
Parmer County,24200,27650,31100,34550,37350,40100,42850,45650,14550,18310,23030,27750,32470,37190,41910,45650,38750,44250,49800,55300,59750,64150,68600,73000
Pecos County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Polk County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Potter County,27050,30900,34750,38600,41700,44800,47900,51000,16250,18550,23030,27750,32470,37190,41910,46630,43250,49400,55600,61750,66700,71650,76600,81550
Presidio County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Rains County,26250,30000,33750,37450,40450,43450,46450,49450,15750,18310,23030,27750,32470,37190,41910,46630,41950,47950,53950,59900,64700,69500,74300,79100
Randall County,27050,30900,34750,38600,41700,44800,47900,51000,16250,18550,23030,27750,32470,37190,41910,46630,43250,49400,55600,61750,66700,71650,76600,81550
Reagan County,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,27750,32470,37190,41910,46630,48750,55700,62650,69600,75200,80750,86350,91900
Real County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Red River County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Reeves County,24200,27650,31100,34550,37350,40100,42850,45650,14550,18310,23030,27750,32470,37190,41910,45650,38750,44250,49800,55300,59750,64150,68600,73000
Refugio County,24000,27400,30850,34250,37000,39750,42500,45250,14400,18310,23030,27750,32470,37190,41910,45250,38400,43850,49350,54800,59200,63600,68000,72350
Roberts County,31750,36300,40850,45350,49000,52650,56250,59900,19050,21800,24500,27750,32470,37190,41910,46630,50800,58050,65300,72550,78400,84200,90000,95800
Robertson County,26950,30800,34650,38450,41550,44650,47700,50800,16150,18450,23030,27750,32470,37190,41910,46630,43050,49200,55350,61500,66450,71350,76300,81200
Rockwall County,34100,39000,43850,48700,52600,56500,60400,64300,20450,23400,26300,29200,32470,37190,41910,46630,54550,62350,70150,77900,84150,90400,96600,102850
Runnels County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Rusk County,24550,28050,31550,35050,37900,40700,43500,46300,14750,18310,23030,27750,32470,37190,41910,46300,39300,44900,50500,56100,60600,65100,69600,74100
Sabine County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
San Augustine County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
San Jacinto County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
San Patricio County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,23030,27750,32470,37190,41910,46630,43400,49600,55800,62000,67000,71950,76900,81850
San Saba County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Schleicher County,27300,31200,35100,38950,42100,45200,48300,51450,16350,18700,23030,27750,32470,37190,41910,46630,43650,49850,56100,62300,67300,72300,77300,82250
Scurry County,26250,30000,33750,37500,40500,43500,46500,49500,15750,18310,23030,27750,32470,37190,41910,46630,42000,48000,54000,60000,64800,69600,74400,79200
Shackelford County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Shelby County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Sherman County,24600,28100,31600,35100,37950,40750,43550,46350,14750,18310,23030,27750,32470,37190,41910,46350,39350,44950,50550,56150,60650,65150,69650,74150
Smith County,27500,31400,35350,39250,42400,45550,48700,51850,16500,18850,23030,27750,32470,37190,41910,46630,44000,50250,56550,62800,67850,72850,77900,82900
Somervell County,23950,27350,30750,34150,36900,39650,42350,45100,14350,18310,23030,27750,32470,37190,41910,45100,38300,43750,49200,54650,59050,63400,67800,72150
Starr County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Stephens County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Sterling County,27500,31400,35350,39250,42400,45550,48700,51850,16500,18850,23030,27750,32470,37190,41910,46630,44000,50250,56550,62800,67850,72850,77900,82900
Stonewall County,29400,33600,37800,42000,45400,48750,52100,55450,17650,20200,23030,27750,32470,37190,41910,46630,47050,53800,60500,67200,72600,78000,83350,88750
Sutton County,24700,28200,31750,35250,38100,40900,43750,46550,14850,18310,23030,27750,32470,37190,41910,46550,39500,45150,50800,56400,60950,65450,69950,74450
Swisher County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Tarrant County,31650,36200,40700,45200,48850,52450,56050,59700,19000,21700,24400,27750,32470,37190,41910,46630,50650,57850,65100,72300,78100,83900,89700,95450
Taylor County,24850,28400,31950,35450,38300,41150,44000,46800,14900,18310,23030,27750,32470,37190,41910,46630,39700,45400,51050,56700,61250,65800,70350,74850
Terrell County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Terry County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Throckmorton County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Titus County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
