Name,Subsidized units available,% Minority,%White Non-Hispanic
White County,4,0,0
Wayne County,2,0,0
Stewart County,1,0,0
Smith County,3,0,0
Pickett County,2,0,0
Perry County,1,0,0
Overton County,4,0,0
Moore County,1,0,0
Lewis County,2,0,0
Lake County,3,0,0
Jackson County,5,0,0
Humphreys County,6,0,0
Houston County,2,0,0
Hancock County,3,0,0
Grundy County,8,0,0
Franklin County,5,0,0
DeKalb County,7,0,0
Decatur County,2,0,0
Crockett County,11,0,0
Clay County,3,0,0
Cannon County,1,0,0
Benton County,11,0,0
Meigs County,44,0,100
Johnson County,37,0,100
Fentress County,33,0,100
Claiborne County,28,0,100
Bledsoe County,22,0,100
Campbell County,125,1,99
Union County,174,2,98
Unicoi County,39,3,97
Sequatchie County,129,3,97
Scott County,44,3,97
Cumberland County,344,3,97
Carter County,297,6,94
Morgan County,20,7,93
Hawkins County,284,7,93
Hickman County,12,9,91
Lawrence County,31,10,90
Jefferson County,70,11,89
Cocke County,46,12,88
Roane County,112,13,87
Rhea County,313,13,87
Sullivan County,1519,15,85
Sevier County,79,15,85
Monroe County,44,15,85
Loudon County,51,15,85
Dickson County,677,15,85
McMinn County,157,16,84
Greene County,139,16,84
Warren County,18,18,82
Grainger County,20,18,82
Macon County,16,20,80
Putnam County,246,21,79
Coffee County,153,22,78
Washington County,662,24,76
McNairy County,18,24,76
Blount County,485,24,76
Marion County,90,26,74
Cheatham County,37,26,74
Anderson County,840,28,72
Marshall County,105,29,71
Hamblen County,266,30,70
Lincoln County,79,31,69
Henderson County,17,31,69
Bedford County,102,38,63
Giles County,70,44,56
Carroll County,12,45,55
Trousdale County,22,48,52
Bradley County,228,50,50
Henry County,18,53,47
Hardin County,12,55,45
Williamson County,289,57,43
Knox County,4514,63,37
Wilson County,472,64,36
Obion County,20,68,32
Maury County,471,68,32
Rutherford County,1083,73,27
Robertson County,188,75,25
Gibson County,71,76,24
Chester County,33,77,23
Dyer County,75,79,21
Sumner County,930,81,19
Montgomery County,1032,82,18
Hamilton County,3918,84,16
Davidson County,7444,85,15
Haywood County,319,92,8
Tipton County,354,93,7
Fayette County,58,93,7
Madison County,1949,94,6
Hardeman County,60,96,4
Lauderdale County,96,98,2
Shelby County,8371,99,1
Weakley County,12,100,0
