Name,Subsidized units available,% Minority,%White Non-Hispanic
Sullivan County,322,3,97
Coos County,437,3,97
Carroll County,108,3,97
Belknap County,651,4,96
Cheshire County,935,5,95
Rockingham County,1485,7,93
Strafford County,1651,8,92
Grafton County,374,8,92
Merrimack County,878,10,90
Hillsborough County,4677,28,72
