Name,Subsidized units available,% Minority,%White Non-Hispanic
Martin County,161,0,0
Gates County,14,0,0
Graham County,106,1,99
Yancey County,252,2,98
Madison County,192,2,98
Haywood County,717,2,98
Mitchell County,235,3,97
Avery County,172,4,96
Macon County,228,5,95
Jackson County,359,5,95
Swain County,87,6,94
Ashe County,356,6,94
Clay County,95,7,93
Alleghany County,194,7,93
Cherokee County,182,9,91
Watauga County,247,10,90
Dare County,41,10,90
Wilkes County,663,13,87
Stokes County,211,17,83
Yadkin County,139,18,82
McDowell County,239,19,81
Transylvania County,166,20,80
Henderson County,491,21,79
Surry County,286,22,78
Carteret County,445,24,76
Polk County,66,34,66
Alexander County,70,37,63
Burke County,295,39,61
Randolph County,791,40,60
Caldwell County,432,40,60
Camden County,28,45,55
Davie County,222,47,53
Currituck County,161,47,53
Lincoln County,283,49,51
Buncombe County,3376,55,45
Catawba County,1090,56,44
Brunswick County,479,57,43
Rutherford County,327,63,37
Orange County,586,67,33
Davidson County,925,69,31
Chatham County,514,69,31
Pender County,218,72,28
Caswell County,259,76,24
Alamance County,1042,76,24
Gaston County,1752,78,22
Rockingham County,227,79,21
New Hanover County,2061,79,21
Hyde County,20,79,21
Columbus County,533,79,21
Johnston County,622,80,20
Richmond County,286,82,18
Harnett County,328,82,18
Stanly County,339,83,17
Onslow County,653,83,17
Lee County,608,83,17
Rowan County,861,85,15
Perquimans County,138,85,15
Moore County,315,85,15
Montgomery County,87,85,15
Iredell County,730,85,15
Person County,143,86,14
Granville County,145,86,14
Bladen County,233,86,14
Wake County,4467,87,13
Pasquotank County,717,87,13
Cleveland County,786,87,13
Chowan County,252,87,13
Union County,361,88,12
Greene County,283,88,12
Anson County,135,88,12
Sampson County,172,88,13
Jones County,26,88,13
Scotland County,1430,89,11
Robeson County,624,89,11
Pamlico County,41,89,11
Hertford County,355,90,10
Craven County,945,90,10
Wilson County,745,92,8
Tyrrell County,17,92,8
Cabarrus County,615,92,8
Beaufort County,383,92,8
Wayne County,287,93,7
Washington County,245,93,7
Lenoir County,884,93,7
Halifax County,907,93,7
Guilford County,6958,93,7
Forsyth County,4809,93,7
Duplin County,165,93,7
Northampton County,110,94,6
Mecklenburg County,8675,94,6
Durham County,2932,94,6
Cumberland County,2030,94,6
Nash County,447,95,5
Franklin County,258,95,5
Pitt County,1413,96,4
Hoke County,161,96,4
Bertie County,179,97,3
Warren County,137,98,2
Vance County,323,98,2
Edgecombe County,458,99,1
