Name,Subsidized units available,% Minority,%White Non-Hispanic
Carbon County,11,0,0
Johnson County,19,0,100
Sheridan County,246,6,94
Park County,87,10,90
Uinta County,89,12,88
Sweetwater County,71,12,88
Campbell County,248,12,88
Natrona County,600,16,84
Albany County,188,17,83
Fremont County,102,26,74
Laramie County,1028,31,69
