sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Acadia Parish County,22001,-1,-1,1486,-1,6,25,2.3,3437,204,313,10.3,4.4,17,47,20,9,8,38,1,61,26,92,71,12,38,81,47,27,48,16,12,49,17,22,2,67,66,0,0,1,10,61,84,48,33,33,34,14,29,25,44,-1,-1,-1,-1,-1,LA,-1,-1,acadia parish la,33,67,33,0,0
9,1,All HUD,-1,Allen Parish County,22003,-1,-1,344,-1,5,35,2.2,758,244,248,10.7,4.8,7,56,22,7,9,41,6,53,31,89,64,9,42,85,47,30,52,17,12,51,18,19,0,56,55,0,1,1,2,39,97,55,27,46,27,21,34,17,48,-1,-1,-1,-1,-1,LA,-1,-1,allen parish la,44,56,44,0,0
9,1,All HUD,-1,Ascension Parish County,22005,-1,-1,475,-1,5,17,2.6,1251,232,405,11.6,4.4,17,37,22,13,11,41,0,56,23,95,72,12,53,90,63,22,36,11,16,59,10,16,1,93,93,0,0,0,22,67,100,111,19,35,46,17,46,21,43,-1,-1,-1,-1,-1,LA,-1,-1,ascension parish la,7,93,7,0,0
9,1,All HUD,-1,Assumption Parish County,22007,-1,-1,89,-1,4,25,2.7,243,277,357,8.7,3.2,24,43,21,8,4,34,6,61,21,99,81,11,64,94,75,17,93,15,13,56,15,16,0,96,96,0,0,0,15,57,100,-2,6,56,38,20,36,20,45,-1,-1,-1,-1,-1,LA,-1,-1,assumption parish la,4,96,4,0,0
9,1,All HUD,-1,Avoyelles Parish County,22009,-1,-1,571,-1,4,29,2.5,1428,219,313,10.9,4.4,14,40,26,13,8,42,6,51,32,86,56,14,45,81,53,27,38,14,15,49,18,18,2,77,77,0,0,0,28,57,87,62,25,31,43,18,31,21,47,-1,-1,-1,-1,-1,LA,-1,-1,avoyelles parish la,23,77,23,0,0
9,1,All HUD,-1,Beauregard Parish County,22011,-1,-1,234,-1,10,31,2.3,537,192,327,11.2,4.9,15,39,26,9,9,47,2,49,29,90,63,12,35,80,44,19,56,14,13,52,15,21,2,53,51,1,0,1,4,55,99,40,35,31,35,12,32,19,57,-1,-1,-1,-1,-1,LA,-1,-1,beauregard parish la,47,53,47,0,0
9,1,All HUD,-1,Bienville Parish County,22013,-1,-1,195,-1,5,27,2.5,482,195,282,9.8,4.0,16,51,21,7,6,32,6,62,30,91,67,10,44,86,54,28,46,14,15,49,16,20,3,92,92,0,0,0,7,71,93,-2,25,42,33,20,45,22,43,-1,-1,-1,-1,-1,LA,-1,-1,bienville parish la,8,92,8,0,0
9,1,All HUD,-1,Bossier Parish County,22015,-1,-1,1604,-1,5,30,2.3,3622,223,370,10.6,4.7,19,39,23,11,8,33,9,56,25,94,68,9,41,82,47,28,33,16,12,48,14,26,3,69,67,0,0,1,5,55,95,44,33,36,31,17,42,25,42,-1,-1,-1,-1,-1,LA,-1,-1,bossier parish la,31,69,31,0,0
9,1,All HUD,-1,Caddo Parish County,22017,-1,-1,6002,-1,6,23,2.5,15080,218,389,9.5,3.8,22,43,20,9,6,31,12,56,23,96,76,11,45,84,54,28,40,15,12,53,16,19,3,90,90,0,0,1,9,63,83,39,30,31,39,14,74,33,50,-1,-1,-1,-1,-1,LA,-1,-1,caddo parish la,10,90,10,0,0
9,1,All HUD,-1,Calcasieu Parish County,22019,-1,-1,3329,-1,5,28,2.3,7798,242,382,11.3,4.9,9,45,25,13,8,40,3,56,27,95,70,9,45,83,51,27,41,15,14,50,14,22,2,71,70,0,0,1,13,56,94,69,29,37,34,12,44,22,43,-1,-1,-1,-1,-1,LA,-1,-1,calcasieu parish la,29,71,29,0,0
