Name,Subsidized units available,% Minority,%White Non-Hispanic
Wright County,188,0,0
Shannon County,26,0,0
Scott County,317,0,0
Putnam County,44,0,0
Ozark County,58,0,0
Oregon County,119,0,0
Harrison County,75,0,0
Grundy County,214,0,0
Douglas County,30,0,0
DeKalb County,59,0,0
Daviess County,103,0,0
Clinton County,191,0,0
Carroll County,86,0,0
Callaway County,134,0,0
Caldwell County,95,0,0
Andrew County,62,0,0
Worth County,6,0,0
Sullivan County,21,0,0
Ste. Genevieve County,10,0,0
Reynolds County,5,0,0
Mercer County,10,0,0
Linn County,26,0,0
Holt County,4,0,0
Hickory County,11,0,0
Dade County,6,0,0
Chariton County,8,0,0
St. Clair County,20,0,100
Schuyler County,40,0,100
Ralls County,32,0,100
Perry County,35,0,100
Osage County,21,0,100
Madison County,44,0,100
Gentry County,25,0,100
Gasconade County,31,0,100
Cedar County,46,0,100
Carter County,12,0,100
Barton County,17,0,100
Atchison County,78,0,100
Nodaway County,182,1,99
Livingston County,97,1,99
Clark County,143,1,99
Washington County,159,2,98
Scotland County,73,2,98
Polk County,46,2,98
Wayne County,42,3,97
Texas County,226,3,97
Maries County,41,3,97
Knox County,43,3,97
Howell County,432,3,97
Dallas County,29,3,97
Crawford County,304,3,97
Henry County,110,4,96
Dent County,127,4,96
Laclede County,145,5,95
Iron County,29,5,95
Benton County,47,5,95
Bates County,74,5,95
Adair County,236,5,95
Franklin County,415,6,94
Vernon County,119,7,93
Ripley County,31,7,93
Montgomery County,117,7,93
Camden County,85,7,93
Shelby County,17,8,92
Ray County,148,8,92
St. Francois County,704,9,91
McDonald County,11,9,91
Christian County,161,9,91
Webster County,41,10,90
Taney County,123,10,90
Stoddard County,28,10,90
Lawrence County,31,10,90
Phelps County,272,11,89
Jefferson County,777,11,89
Barry County,27,11,89
Newton County,167,12,88
Lincoln County,967,13,87
Jasper County,876,13,87
Stone County,32,13,88
Macon County,34,13,88
Warren County,667,14,86
Miller County,40,14,86
Morgan County,33,15,85
Bollinger County,18,15,85
Pike County,208,16,84
Moniteau County,33,18,82
Lafayette County,197,18,82
Saline County,108,21,79
Johnson County,182,22,78
Monroe County,18,23,77
Marion County,209,23,77
Greene County,1143,25,75
Cass County,778,25,75
Buchanan County,1025,25,75
Cooper County,97,28,72
Butler County,378,28,72
Pettis County,295,29,71
Randolph County,138,33,67
Pulaski County,133,33,67
Howard County,25,35,65
Lewis County,31,36,64
Audrain County,179,36,64
St. Charles County,1104,42,58
Clay County,1288,49,51
New Madrid County,86,52,48
Platte County,178,59,41
Boone County,1867,61,39
Cole County,507,62,38
Mississippi County,29,67,33
Cape Girardeau County,1077,70,30
Pemiscot County,245,83,17
Dunklin County,223,83,17
Jackson County,10043,84,16
St. Louis city County,5290,94,6
St. Louis County,8777,95,5
