Name,Subsidized units available,% Minority,%White Non-Hispanic
Luce County,103,0,0
Ontonagon County,5,0,0
Leelanau County,8,0,0
Keweenaw County,6,0,0
Presque Isle County,12,0,100
Crawford County,48,0,100
Arenac County,22,0,100
Antrim County,41,0,100
Alger County,34,0,100
Schoolcraft County,99,2,98
Iron County,241,2,98
Huron County,61,2,98
Cheboygan County,159,2,98
Charlevoix County,90,2,98
Ogemaw County,65,3,97
Missaukee County,37,3,97
Benzie County,36,3,97
Menominee County,148,4,96
Shiawassee County,111,5,95
Roscommon County,127,5,95
Gogebic County,70,5,95
Dickinson County,139,5,95
Kalkaska County,21,6,94
Ionia County,144,6,94
Houghton County,180,6,94
Sanilac County,103,7,93
Otsego County,154,7,93
Osceola County,113,7,93
Montmorency County,31,7,93
Montcalm County,330,7,93
Baraga County,40,7,93
Alpena County,131,7,93
Alcona County,16,7,93
Wexford County,164,8,92
Newaygo County,123,8,92
Gratiot County,279,8,92
Oscoda County,24,9,91
Marquette County,355,9,91
Manistee County,59,9,91
Livingston County,341,9,91
Grand Traverse County,551,9,91
Iosco County,121,10,90
Gladwin County,64,10,90
Delta County,186,10,90
Clare County,98,10,90
Branch County,74,10,90
Mason County,80,11,89
Hillsdale County,49,11,89
Barry County,69,12,88
Tuscola County,118,13,87
Midland County,388,13,87
Lapeer County,582,13,87
Emmet County,73,13,87
Mecosta County,181,16,84
Isabella County,311,19,81
Oceana County,63,22,78
Bay County,476,22,78
Lenawee County,191,23,77
St. Joseph County,43,27,73
Clinton County,194,27,73
Monroe County,620,28,72
St. Clair County,1130,31,69
Chippewa County,165,31,69
Allegan County,400,31,69
Mackinac County,21,39,61
Eaton County,465,46,54
Van Buren County,124,48,52
Lake County,163,48,52
Ottawa County,527,49,51
Jackson County,953,49,51
Cass County,87,55,45
Calhoun County,1143,66,34
Oakland County,4529,67,33
Muskegon County,1066,68,32
Washtenaw County,3907,69,31
Ingham County,3199,70,30
Macomb County,3417,73,27
Kalamazoo County,1307,75,25
Kent County,7256,76,24
Berrien County,801,84,16
Saginaw County,2019,88,12
Wayne County,20671,89,11
Genesee County,2330,89,11
